instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2
mcs10_b03_s100_AB00 100000 100000 79998 45419 50171 54878 50129 100000 100000 100001 39158 38852 100001 100001 100000
mcs10_b03_s100_AB01 100000 100001 100001 100001 100002 100038 100002 100000 100000 100001 100000 100000 100001 100001 100000
mcs10_b03_s100_AB02 100000 100000 100001 100001 100003 100004 100002 100000 100001 100001 100000 100000 100001 100001 100000
mcs10_b03_s100_AB03 100000 100000 100001 100001 100003 100034 100002 100000 100000 100001 100000 100000 100001 100000 100000
mcs10_b03_s100_AB04 100000 100000 100001 100001 100010 100021 100010 100000 100000 100001 100000 100000 100001 100001 100000
mcs10_b03_s100_AB05 100000 100000 100001 100001 100002 100036 100002 100000 100001 100001 100000 100000 100001 100001 100001
mcs10_b03_s100_AB06 100000 100000 100001 100001 100002 100034 100003 100000 100001 100001 100000 100000 100001 100001 100000
mcs10_b03_s100_AB07 100000 100000 100001 100001 100015 100034 100014 100000 100001 100001 100000 100000 100001 100001 100000
mcs10_b03_s100_AB08 100000 100000 100001 100001 100002 100033 100003 100000 100000 100001 100000 100000 100002 100001 100000
mcs10_b03_s100_AB09 100000 100000 100001 100002 100003 100037 100002 100000 100000 100001 100000 100000 100001 100001 100000
mcs10_b03_s40_AB00 51 370 13 15 13 18 18 45 37 39 27 24 55 14 25
mcs10_b03_s40_AB01 3905 6211 41 25 31 29 31 45 39 42 602 491 40 911 1939
mcs10_b03_s40_AB02 193 367 27 20 23 24 24 15 10 9 55 53 10 50 98
mcs10_b03_s40_AB03 651 806 91 61 46 66 49 32 32 35 91 76 33 158 300
mcs10_b03_s40_AB04 1748 194 179 73 56 75 59 31 33 35 104 139 32 250 593
mcs10_b03_s40_AB05 228 560 44 31 33 40 35 177 115 97 45 47 105 67 121
mcs10_b03_s40_AB06 549 2937 47 20 23 27 34 148 148 149 54 68 158 106 210
mcs10_b03_s40_AB07 316 154 70 43 39 55 43 27 13 22 46 43 16 84 154
mcs10_b03_s40_AB08 111 909 21 18 21 24 22 20 20 22 47 30 21 32 59
mcs10_b03_s40_AB09 167 2081 33 29 31 40 39 55 21 24 40 53 23 48 96
mcs10_b03_s50_AB00 71138 39894 6091 3135 2225 2328 2251 851 560 499 3398 3405 457 12450 29268
mcs10_b03_s50_AB01 100000 100000 100001 57849 41521 43096 41539 3596 1142 785 76478 80761 831 100000 100000
mcs10_b03_s50_AB02 100000 100000 100001 100001 100002 100039 100002 14987 15135 14931 100000 100000 15197 100001 100000
mcs10_b03_s50_AB03 30562 100000 4216 2334 2244 1902 2532 1025 798 585 2471 2387 601 7664 16663
mcs10_b03_s50_AB04 100000 100000 100001 72741 19419 10087 23459 3777 3323 3053 100000 71600 3006 100001 100000
mcs10_b03_s50_AB05 465 7946 68 62 62 78 56 1052 670 529 43 40 482 82 154
mcs10_b03_s50_AB06 100000 100000 100001 59470 43595 43671 43158 4185 3333 2819 94715 99435 2952 100000 100000
mcs10_b03_s50_AB07 100000 100000 100001 100001 100017 100033 100018 27500 20309 17066 100000 100000 23764 100001 100000
mcs10_b03_s50_AB08 100000 100000 100001 61991 53499 80252 53512 291 237 143 100000 100000 152 100001 100000
mcs10_b03_s50_AB09 100000 100000 100000 50063 36377 36897 36349 3407 2803 2190 59912 62756 2041 100000 100000
mcs10_b03_s60_AB00 24333 35152 2116 714 639 805 641 1526 1160 1031 926 1467 1343 5074 12080
mcs10_b03_s60_AB01 292 15751 80 52 49 62 54 646 656 617 60 71 543 105 167
mcs10_b03_s60_AB02 13057 100000 2811 1673 777 1025 779 1470 1213 1111 1181 536 4661 3501 5142
mcs10_b03_s60_AB03 1493 9618 111 122 115 114 116 8482 8023 8624 95 78 8847 198 544
mcs10_b03_s60_AB04 5692 22663 750 409 283 284 273 649 636 620 452 481 638 1413 2823
mcs10_b03_s60_AB05 100000 66853 32575 16251 10880 11071 10835 3802 2841 2565 18903 19061 2526 62435 100000
mcs10_b03_s60_AB06 19974 67489 2594 1400 992 1012 932 2971 1685 1432 1745 1753 1638 4718 9756
mcs10_b03_s60_AB07 39640 44581 1176 763 842 632 841 24603 24605 25230 1073 1401 25030 7612 19237
mcs10_b03_s60_AB08 4941 72194 556 434 308 287 324 9694 9359 7539 287 281 7660 970 3037
mcs10_b03_s60_AB09 100000 100000 69089 37833 23802 23408 23997 5281 5438 5555 100000 100000 5610 100000 100000
mcs10_b03_s70_AB00 100000 100000 13131 6862 4865 4808 5486 31967 19035 15085 7320 7261 17175 24917 51527
mcs10_b03_s70_AB01 100000 100000 100001 100003 69995 85169 69962 32052 32477 29864 100000 100000 23198 100001 100000
mcs10_b03_s70_AB02 100000 100000 80519 47951 45439 36065 44993 48251 45577 44640 35696 40487 44712 100001 100000
mcs10_b03_s70_AB03 100000 100000 100001 80907 58815 58038 56113 100000 100000 100001 91993 96989 100002 100000 100000
mcs10_b03_s70_AB04 100000 100000 100001 100002 100002 100003 100002 100000 96955 54605 100000 100000 60011 100000 100000
mcs10_b03_s70_AB05 100000 100000 25878 8516 5644 5674 4240 100000 62087 76990 9672 8891 59093 80920 100000
mcs10_b03_s70_AB06 100000 100000 100001 100001 100020 100036 100018 100000 100000 100001 100000 100000 100001 100001 100000
